lat,lon,Score,PVOUT_csi,GHI,DNI,ELE,GTI_opta,OPTA,TEMP,DIF
16.90874,45.34907,0.3838064353713033,1945.50732421875,2410.453125,2243.9609375,1079,2556.453125,22,26.4375,847.9296875
17.15,43.17083,0.30310447898632387,1721.559814453125,2110.4453125,1602.921875,789,2210.3984375,20,26.625,921.7421875
17.40555,44.00693,0.3772662574287957,1940.72021484375,2417.2421875,2331.2265625,1376,2561.6328125,21,25.0,778.53125
17.10456,42.80334,0.2963861822172007,1652.45751953125,2068.6875,1486.1171875,83,2162.3515625,19,30.9375,1000.6875
17.33147,43.25468,0.3137421023318188,1717.35498046875,2132.7578125,1713.5859375,881,2246.7421875,21,26.0625,887.5390625
16.61088,43.14725,0.28819379229807196,1623.969970703125,2040.7421875,1431.03125,194,2127.9140625,19,29.75,997.8125
16.65065,43.09689,0.2893892090489721,1631.6099853515625,2039.3828125,1431.3125,124,2130.453125,19,30.25,1005.5390625
16.42765,42.64142,0.2933447487646006,1726.5654296875,2113.421875,1546.6484375,2,2200.1015625,18,29.125,985.2109375
17.18478,47.48398,0.39044042288740843,1938.9127197265625,2400.6796875,2246.484375,842,2558.4140625,24,27.75,842.375
16.59708,43.12792,0.2896462840670232,1631.6773681640625,2040.96875,1432.703125,149,2131.0703125,19,30.0625,1005.5390625
17.42204,44.31632,0.3830574922069748,1973.1103515625,2428.546875,2360.359375,1564,2575.6328125,21,23.9375,787.265625
16.66667,43.16667,0.2855882730587118,1630.669189453125,2032.90625,1436.1875,199,2123.6875,19,28.8125,993.0703125
16.83333,43.21667,0.2832436960831384,1613.6591796875,2001.953125,1407.6171875,437,2096.734375,20,28.5625,964.328125
17.4,44.01667,0.35993847723186767,1938.193603515625,2371.28125,2211.140625,1453,2504.515625,21,23.625,769.9453125
16.83682,43.16303,0.2851123158432987,1620.418701171875,2026.734375,1435.0546875,247,2119.4765625,19,29.375,983.4765625
17.07679,43.19728,0.3044001334472464,1713.41357421875,2122.1328125,1646.0546875,603,2222.859375,20,26.3125,920.5390625
18.74765,50.94316,0.3798786267322123,1902.738525390625,2346.25,2147.2265625,307,2511.8828125,25,29.1875,860.0234375
17.56667,43.43333,0.3555684215657536,1905.0079345703125,2320.3671875,2225.5078125,2024,2471.28125,22,20.0,723.5859375
18.86942,51.3158,0.37951919151853303,1898.107666015625,2341.7890625,2146.546875,368,2508.75,25,29.0,857.078125
17.0474,43.19908,0.2955146261797343,1667.2481689453125,2089.3515625,1568.2734375,690,2173.3359375,20,26.25,917.6015625
17.56667,43.45,0.3821070938572016,2041.48388671875,2407.2578125,2490.765625,2466,2564.8828125,22,16.125,704.4140625
17.56087,43.42968,0.363150355813216,1943.52734375,2355.765625,2274.609375,1939,2504.6328125,22,19.875,734.90625
29.13139,45.49111,0.3521798058120769,1795.805908203125,2101.8671875,1926.1484375,316,2334.9921875,30,25.0625,832.3984375
29.6251,43.61596,0.3653046428931386,1848.275390625,2138.5078125,2071.0546875,446,2392.46875,31,24.25,788.0078125
28.94117,45.55272,0.3579997234169151,1803.303466796875,2108.8828125,1928.3046875,329,2347.3359375,31,25.0625,834.5625
28.93333,45.5,0.3581497331866614,1803.803955078125,2109.1484375,1929.1875,341,2346.4296875,31,25.0625,833.84375
29.78333,43.88333,0.3623238260302215,1839.348388671875,2125.4921875,2034.9765625,391,2379.96875,31,24.3125,799.2265625
28.88333,45.86667,0.3588482491641406,1804.3311767578125,2112.09375,1937.703125,347,2347.1953125,31,25.125,830.9765625
28.86667,45.45,0.35832867097475796,1803.838623046875,2110.796875,1930.3515625,336,2351.0078125,31,25.0625,833.9921875
29.60278,43.6,0.36557771561827224,1848.8895263671875,2139.9140625,2073.796875,446,2395.7890625,31,24.25,787.546875
29.8,43.86667,0.36282655039028167,1844.826416015625,2128.296875,2044.3515625,422,2383.203125,31,24.0625,796.1015625
29.75996,43.63047,0.3640583586618633,1847.4676513671875,2133.984375,2063.125,423,2390.4140625,31,24.125,790.1796875
28.88333,45.5,0.35819800937622726,1804.45458984375,2110.4609375,1929.046875,336,2349.9765625,31,25.0625,834.0703125
28.93333,45.66667,0.35712480767028976,1797.388916015625,2106.3828125,1921.453125,302,2342.0078125,31,25.1875,835.1171875
